RegionID,SizeRank,RegionName,RegionType,StateName,1/31/21,4/30/21,7/31/21,10/31/21,1/31/22,4/30/22,7/31/22,10/31/22,1/31/23,4/30/23,7/31/23,10/31/23,1/31/24,4/30/24,7/31/24,10/31/24
394530,19,Denver,msa,CO,1584.416998,1635.165174,1742.640226,1797.34933,1804.782076,1866.388335,1926.370287,1911.035077,1887.543284,1936.242404,1972.0841,1965.532533,1949.11976,1986.810957,2017.157891,1986.765043
394358,20,Baltimore,msa,MD,1517.075597,1554.156517,1631.352448,1670.73293,1696.001416,1728.118061,1770.849861,1757.090706,1757.585257,1787.470991,1817.401424,1810.950472,1809.897391,1839.562013,1879.586362,1886.744299
395121,21,St. Louis,msa,MO,1057.986273,1080.638638,1118.941085,1143.086834,1163.741184,1198.988915,1238.477916,1246.782037,1251.073927,1271.62126,1307.586433,1310.185001,1317.725342,1345.451378,1371.564221,1379.526925
394943,22,Orlando,msa,FL,1508.123381,1556.373891,1674.469179,1797.822303,1845.164941,1918.068154,2006.165111,2000.352151,1990.183274,2017.874806,2034.85678,2017.61996,2006.95382,2035.830158,2062.625847,2042.375931
394458,23,Charlotte,msa,NC,1381.13372,1419.132502,1509.115273,1583.942758,1610.464995,1647.532534,1730.931797,1733.330503,1729.301027,1749.672883,1778.606955,1772.379999,1755.581086,1775.362432,1797.930634,1794.849282
395055,24,San Antonio,msa,TX,1241.641326,1267.306107,1335.100092,1393.26693,1410.152205,1449.206409,1485.40681,1475.192516,1470.067102,1486.414523,1488.667134,1471.148569,1467.65199,1481.909117,1489.540102,1464.932285
394998,25,Portland,msa,OR,1507.455992,1551.999814,1635.652102,1685.994561,1688.589192,1733.621966,1807.256227,1808.595154,1794.273962,1816.970676,1814.772873,1799.213374,1785.458091,1828.871519,1872.322686,1866.542206
395045,26,Sacramento,msa,CA,1880.575443,1932.554329,2047.803257,2107.929022,2116.465159,2160.279366,2208.65226,2210.669324,2166.825855,2201.300189,2234.534514,2243.469648,2236.927978,2279.981452,2309.675924,2319.437783
394982,27,Pittsburgh,msa,PA,1144.137313,1168.677435,1207.669408,1230.527869,1239.547191,1265.239802,1303.941797,1312.365084,1308.625038,1329.364018,1349.914731,1358.517328,1374.341096,1382.269501,1412.946633,1423.828737
394466,28,Cincinnati,msa,OH,1164.404371,1192.483987,1232.728413,1267.228683,1285.501579,1329.226461,1380.453129,1391.402756,1401.768095,1429.46453,1461.072709,1476.68478,1492.674523,1512.499408,1536.594552,1560.633655
394355,29,Austin,msa,TX,1423.849403,1489.535036,1626.792498,1719.935718,1724.939918,1786.131061,1856.426074,1827.375882,1789.658148,1811.622923,1814.037102,1767.7372,1738.185236,1749.433951,1756.736955,1709.618311
394775,30,Las Vegas,msa,NV,1401.770329,1445.770229,1601.574436,1707.437082,1722.558388,1749.412958,1790.651194,1739.313747,1709.875119,1734.083715,1754.010933,1748.893291,1743.056147,1770.247406,1804.21643,1794.105449
394735,31,Kansas City,msa,MO,1100.299589,1136.421933,1185.996063,1197.762793,1217.614571,1252.188125,1305.939253,1314.23411,1318.335177,1340.567332,1371.36884,1378.09448,1395.411913,1414.97321,1449.059828,1454.60404
394492,32,Columbus,msa,OH,1208.393114,1242.92744,1298.240219,1323.009629,1336.208829,1368.396987,1437.575652,1433.030732,1427.000575,1457.669214,1496.39408,1498.812996,1502.546508,1527.378629,1567.89027,1581.557606
