RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2010,4/30/2010,7/31/2010,10/31/2010,1/31/2011,4/30/2011,7/31/2011,10/31/2011,1/31/2012,4/30/2012,7/31/2012,10/31/2012,1/31/2013,4/30/2013,7/31/2013,10/31/2013,1/31/2014,4/30/2014,7/31/2014,10/31/2014,1/31/2015,4/30/2015,7/31/2015,10/31/2015,1/31/2016,4/30/2016,7/31/2016,10/31/2016,1/31/2017,4/30/2017,7/31/2017,10/31/2017,1/31/2018,4/30/2018,7/31/2018,10/31/2018,1/31/2019,4/30/2019,7/31/2019,10/31/2019,1/31/2020,4/30/2020,7/31/2020,10/31/2020
394908,68,New Haven,msa,CT,231287.6912,233299.4781,234818.041,230749.4429,224542.6998,222508.194,218379.4252,212682.4431,207973.5777,207201.1569,205279.1502,203159.8517,202557.2327,203625.7754,204860.3829,206005.2305,207019.2466,207649.713,208185.3325,206470.5406,205656.9215,205289.1823,206293.9984,207725.0218,207400.5213,207362.2521,208351.8176,208702.6401,209458.9495,210740.2327,213478.7987,213839.8376,216181.8092,217277.1848,217996.1309,219260.0077,220888.0126,223218.4045,224109.1263,224960.8888,228178.5471,233235.6671,234908.2872,241703.549
394561,69,El Paso,msa,TX,130261.3803,130985.4581,130563.6977,129592.703,128208.3117,128226.2348,127437.7696,126693.6219,126458.61,125050.7989,124076.7583,122954.0634,122350.1633,123861.2905,123929.8474,122673.7578,122355.2493,123181.9908,123744.1201,123165.1559,123049.4491,124301.4196,125558.926,126359.3629,126111.3862,127009.6755,127792.1945,128555.3006,130098.6231,131886.8819,132853.7143,132213.6286,132731.0315,133183.8401,134099.6808,135280.9066,136207.3377,136390.7501,137275.8944,138780.4965,140588.0321,142714.0299,144736.5881,149187.2693
394318,70,Allentown,msa,PA,197496.9546,198754.9367,199380.6824,195129.5022,192203.6092,188210.988,184489.8466,181663.7804,178846.7275,177710.1856,177229.3556,175788.3229,174736.5767,175015.2934,176693.1015,177090.9399,177737.5096,181702.9349,183731.9795,182700.9702,181810.2826,181521.5494,182818.1971,185378.309,186291.0465,187086.8863,188049.2519,189192.0229,190884.4667,192803.9925,194857.0017,196730.3147,199176.8385,201797.6825,204492.2685,206762.2698,208115.7075,210173.2449,211494.1833,212716.0614,216897.2741,221437.5624,224106.4905,230446.9854
394952,71,Oxnard,msa,CA,415941.4313,425031.0814,421458.0167,421229.8979,415424.8489,406297.5203,401351.2423,391502.2538,382303.2904,370534.8431,367833.1775,376513.4749,389029.4801,405127.1107,429505.3542,448611.8641,459896.186,471469.6005,479604.7959,482984.8657,489387.2675,497691.452,504178.3317,511264.0229,522071.3794,532500.5298,536351.0569,539984.2935,551119.5052,561336.2529,566338.8932,573275.5942,586008.54,593629.3865,597172.5552,598586.6935,601057.4558,604432.4991,603744.1707,603669.1454,609332.7834,620854.8197,620606.1907,639382.0281
753906,73,North Port,msa,FL,171018.8189,171188.0237,170113.1383,167411.0588,163624.2966,160398.1332,157186.8612,155236.1235,155191.4022,157814.325,162077.8901,164781.5277,168667.8283,175212.532,182718.5339,188889.6907,193923.9639,198664.557,202787.8977,206599.8471,211310.9637,215053.558,220755.3659,228787.8676,235000.1706,238096.5214,242580.9293,246938.5057,250746.0481,253217.7327,255080.1637,257221.411,260046.5906,262002.6078,264864.49,268641.2749,271019.142,270958.8285,270232.5722,272468.6302,276785.7717,280569.5109,280862.4744,289071.5839
394457,75,Charleston,msa,SC,193286.3702,192499.8294,191444.7605,188926.2449,184266.379,179010.7818,173977.6886,170341.7244,169360.1511,173493.7224,177296.8744,180142.8193,182771.3248,185922.2849,189606.1978,194463.1085,197193.3156,201088.2852,204603.377,207149.9112,209934.1874,214312.8849,218951.9591,224402.3551,230026.9607,232776.2326,235437.4294,238951.6362,242472.2305,245839.0344,250124.4808,254209.6001,258516.8269,261976.1523,264024.4305,266820.447,268520.1268,270669.3562,272430.9473,274271.0751,277197.3306,280713.3821,282427.4412,289886.377
394648,76,Greensboro,msa,NC,126561.104,125421.8825,124964.9986,123860.9661,122614.3502,120743.1309,119200.6039,118140.9546,116478.8426,117190.3123,119139.8901,119338.4506,119002.3161,119522.55,121549.3163,122622.6102,123412.5787,124406.3503,125659.8246,125416.5431,126047.6811,127217.8432,128763.7901,129825.0662,131217.9788,132182.1806,133784.9215,136096.1351,138400.6898,138942.6511,141094.3115,143587.2353,146228.9786,148978.9078,150606.0416,152926.995,156604.8508,160579.9333,162328.2732,164385.6525,167701.8055,171496.1122,174445.1226,181051.625
395134,77,Stockton,msa,CA,175757.6537,177247.9833,174390.3961,177160.9871,173082.3471,168382.8282,163778.8389,158768.9408,156266.8756,159776.9899,163031.4271,167781.9853,175956.2865,186328.3449,202436.7441,219870.957,232555.2529,243702.79,252405.4026,257639.4183,262169.3271,268221.7816,275046.2329,282225.0932,290594.1698,298332.8252,304677.7247,310620.9617,318374.5,328410.4966,335314.3767,342454.8868,350745.9408,361743.2032,369621.1464,372361.6293,375867.1405,380318.7208,382438.42,384815.6682,389371.9736,396473.5681,398107.2438,409248.5467
394440,78,Cape Coral,msa,FL,138645.5141,135108.689,135791.686,133720.6224,131007.265,130994.1779,129335.3628,129813.1297,131126.9251,133185.0725,138010.6269,141799.1725,146216.2699,151279.3677,157433.1509,163011.5543,166903.4289,170839.11,174800.0566,178430.0137,183363.3749,187279.8405,192725.4854,200002.736,207223.3543,211912.8177,215870.0347,219358.3243,222510.8067,224501.3667,225251.9412,227386.5263,229925.671,230876.607,232020.8199,234509.3779,236343.6401,236570.1081,235542.4084,236402.4838,239859.8794,241959.3386,241711.3256,249411.303
394484,80,Colorado Springs,msa,CO,208663.7264,209590.052,208399.8677,205279.0086,201741.0531,199868.2891,196808.4014,196184.5358,196098.1469,197127.9624,198437.6409,202131.8198,205075.2935,206994.8194,209630.6868,212641.5256,214371.3717,215845.1118,217083.6154,219661.7387,223457.9443,226968.8079,229880.0684,234647.7294,239534.7642,244414.6529,249555.1672,254016.071,260343.8556,266797.0512,272547.9648,276945.1744,284403.8424,293350.3895,299163.661,304598.0874,309474.9176,314279.4583,317865.9182,322573.4325,330769.5465,339602.0141,343920.1477,351695.573
